"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_266.9650",7.548e-09,8.1222,1.3335e-08,"region_3-region_8; region_3-region_1; region_10-region_1; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_7; region_5-region_10; region_13-region_10",0.2588
"MZ_851.6398",7.5545e-09,8.1218,1.3343e-08,"region_10-region_1; region_12-region_1; region_10-region_2; region_10-region_7; region_12-region_7; region_10-region_4; region_12-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.01603
"MZ_851.6288",7.5646e-09,8.1212,1.3358e-08,"region_5-region_8; region_13-region_8; region_10-region_1; region_10-region_2; region_10-region_7; region_10-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1627
"MZ_798.5419",8.0525e-09,8.0941,1.4217e-08,"region_4-region_1; region_11-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.8138
"MZ_440.0331",8.1867e-09,8.0869,1.445e-08,"region_3-region_1; region_10-region_1; region_9-region_1; region_10-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_9-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_13-region_10; region_9-region_5; region_13-region_9",0.1292
"MZ_851.6284",8.2957e-09,8.0811,1.4639e-08,"region_5-region_8; region_13-region_8; region_12-region_1; region_9-region_1; region_9-region_2; region_12-region_7; region_9-region_7; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.2106
"MZ_703.9848",8.3056e-09,8.0806,1.4654e-08,"region_3-region_8; region_3-region_1; region_3-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.5339
"MZ_688.0090",8.3672e-09,8.0774,1.4759e-08,"region_2-region_1; region_3-region_1; region_10-region_1; region_9-region_1; region_11-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_9-region_11; region_5-region_10; region_13-region_10; region_9-region_5; region_13-region_9",0.2985
"MZ_756.5524",8.3794e-09,8.0768,1.4777e-08,"region_10-region_1; region_12-region_1; region_10-region_2; region_5-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_12-region_7; region_10-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.1665
"MZ_534.2904",8.4096e-09,8.0752,1.4827e-08,"region_1-region_8; region_5-region_8; region_13-region_8; region_9-region_1; region_5-region_2; region_5-region_11; region_13-region_11; region_9-region_7; region_5-region_4; region_13-region_4; region_9-region_5; region_13-region_9",0.2233
"MZ_782.5618",8.5206e-09,8.0695,1.502e-08,"region_11-region_8; region_5-region_1; region_13-region_1; region_11-region_2; region_5-region_11; region_13-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.7999
"MZ_848.5461",8.5815e-09,8.0664,1.5123e-08,"region_4-region_8; region_11-region_1; region_5-region_1; region_13-region_1; region_4-region_2; region_4-region_3; region_4-region_11; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",1.072
"MZ_587.9853",8.7108e-09,8.0599,1.5348e-08,"region_1-region_8; region_4-region_8; region_2-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_4-region_7; region_5-region_4; region_12-region_4; region_13-region_4",0.917
"MZ_494.9552",8.7589e-09,8.0576,1.5429e-08,"region_1-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_5-region_4; region_13-region_4",1.215
"MZ_822.5252",8.7618e-09,8.0574,1.5431e-08,"region_4-region_8; region_4-region_1; region_4-region_2; region_4-region_3; region_4-region_11; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_9-region_4; region_13-region_4; region_12-region_5; region_13-region_12",0.6583
"MZ_825.5473",8.7902e-09,8.056,1.5477e-08,"region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_4; region_9-region_4; region_13-region_4",1.824
"MZ_782.5654",8.9309e-09,8.0491,1.5721e-08,"region_10-region_8; region_10-region_1; region_10-region_2; region_10-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.4827
"MZ_853.6422",8.9345e-09,8.0489,1.5724e-08,"region_1-region_8; region_2-region_8; region_7-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_12-region_1; region_12-region_2; region_5-region_3; region_13-region_3; region_12-region_7; region_12-region_5; region_9-region_5; region_13-region_12",0.5845
"MZ_799.5321",8.9396e-09,8.0487,1.573e-08,"region_4-region_8; region_5-region_1; region_13-region_1; region_4-region_2; region_4-region_3; region_10-region_11; region_5-region_11; region_13-region_11; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",0.9981
"MZ_837.6636",8.9552e-09,8.0479,1.5754e-08,"region_5-region_8; region_13-region_8; region_10-region_1; region_5-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_10-region_4; region_12-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.3886
"MZ_688.0099",9.0269e-09,8.0445,1.5876e-08,"region_3-region_1; region_10-region_1; region_10-region_2; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10",0.1515
"MZ_780.5435",9.128e-09,8.0396,1.605e-08,"region_11-region_8; region_11-region_1; region_11-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11",0.5646
"MZ_845.5193",9.3871e-09,8.0275,1.6502e-08,"region_1-region_8; region_5-region_8; region_13-region_8; region_4-region_1; region_10-region_1; region_12-region_1; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.3031
"MZ_472.1020",9.4617e-09,8.024,1.663e-08,"region_3-region_1; region_11-region_1; region_5-region_1; region_13-region_1; region_11-region_2; region_5-region_2; region_13-region_2; region_4-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",1.259
"MZ_837.6625",9.5539e-09,8.0198,1.6788e-08,"region_12-region_1; region_12-region_2; region_12-region_3; region_5-region_11; region_13-region_11; region_12-region_7; region_12-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.4864
"MZ_265.9597",9.5701e-09,8.0191,1.6813e-08,"region_5-region_8; region_13-region_8; region_5-region_1; region_13-region_1; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_5; region_9-region_5",1.573
"MZ_228.0039",9.5923e-09,8.0181,1.6848e-08,"region_5-region_8; region_5-region_1; region_5-region_2; region_5-region_3; region_5-region_11; region_5-region_7; region_5-region_4; region_5-region_10; region_12-region_5; region_9-region_5",1.214
"MZ_477.9893",9.7488e-09,8.0111,1.7119e-08,"region_3-region_8; region_10-region_8; region_3-region_1; region_10-region_1; region_3-region_2; region_10-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_10; region_9-region_10; region_13-region_10",0.1921
"MZ_534.2912",9.8356e-09,8.0072,1.7267e-08,"region_1-region_8; region_5-region_8; region_13-region_8; region_11-region_1; region_4-region_1; region_12-region_1; region_9-region_1; region_5-region_11; region_13-region_11; region_5-region_4; region_13-region_4; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.2816
"MZ_826.5696",9.8602e-09,8.0061,1.7307e-08,"region_1-region_8; region_11-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_11; region_10-region_11; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10",1.277
"MZ_472.1066",1.003e-08,7.9987,1.7601e-08,"region_3-region_8; region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_10; region_13-region_10; region_12-region_5",0.00834
"MZ_820.5139",1.0086e-08,7.9963,1.7695e-08,"region_4-region_8; region_5-region_1; region_4-region_2; region_4-region_3; region_4-region_11; region_5-region_7; region_10-region_4; region_5-region_4; region_9-region_4; region_13-region_4; region_12-region_5",0.545
"MZ_741.5207",1.0231e-08,7.9901,1.7945e-08,"region_5-region_8; region_13-region_8; region_11-region_2; region_7-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.307
"MZ_773.5181",1.0523e-08,7.9779,1.8454e-08,"region_5-region_8; region_13-region_8; region_9-region_11; region_12-region_7; region_9-region_7; region_9-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.199
"MZ_773.5186",1.0553e-08,7.9766,1.8503e-08,"region_11-region_3; region_9-region_3; region_10-region_11; region_5-region_11; region_13-region_11; region_9-region_10; region_12-region_5; region_9-region_5; region_13-region_9",0.4015
"MZ_782.5598",1.0772e-08,7.9677,1.8881e-08,"region_11-region_8; region_11-region_1; region_11-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11",0.8581
"MZ_492.9610",1.0837e-08,7.9651,1.8992e-08,"region_3-region_1; region_10-region_1; region_12-region_1; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.02568
"MZ_703.9817",1.1071e-08,7.9558,1.9397e-08,"region_10-region_8; region_10-region_1; region_10-region_2; region_10-region_3; region_10-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.0718
"MZ_109.9165",1.1229e-08,7.9497,1.967e-08,"region_2-region_8; region_3-region_8; region_7-region_8; region_13-region_1; region_13-region_2; region_13-region_3; region_13-region_11; region_13-region_7; region_13-region_4; region_13-region_10; region_13-region_5; region_13-region_12; region_13-region_9",0.4486
"MZ_850.5653",1.1352e-08,7.9449,1.9881e-08,"region_3-region_8; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",1.168
"MZ_822.5268",1.1396e-08,7.9433,1.9952e-08,"region_4-region_8; region_5-region_1; region_13-region_1; region_5-region_2; region_13-region_2; region_5-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",1.154
"MZ_493.9598",1.1407e-08,7.9428,1.9967e-08,"region_11-region_1; region_5-region_1; region_13-region_1; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_4-region_11; region_5-region_4; region_13-region_4",1.343
"PS_39:5_823.5363_[M]+",1.1559e-08,7.9371,2.0229e-08,"region_2-region_1; region_11-region_1; region_7-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_5-region_3; region_13-region_3; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.188
"MZ_331.0841",1.1615e-08,7.935,2.0323e-08,"region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_4; region_5-region_10; region_13-region_10; region_9-region_5",0.009151
"MZ_154.1417",1.2186e-08,7.9141,2.1318e-08,"region_7-region_1; region_10-region_1; region_12-region_1; region_7-region_2; region_7-region_11; region_10-region_11; region_5-region_7; region_13-region_7; region_5-region_10; region_13-region_10",0.005177
"MZ_837.6624",1.2266e-08,7.9113,2.1453e-08,"region_10-region_1; region_12-region_1; region_9-region_1; region_12-region_2; region_9-region_2; region_12-region_3; region_12-region_7; region_9-region_7; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.548
"MZ_826.5613",1.2306e-08,7.9099,2.1518e-08,"region_1-region_8; region_4-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_4-region_11; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",1.158
"MZ_476.9826",1.232e-08,7.9094,2.1537e-08,"region_5-region_8; region_5-region_1; region_13-region_1; region_5-region_2; region_5-region_3; region_13-region_3; region_5-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12",0.781
"MZ_228.0062",1.2345e-08,7.9085,2.1576e-08,"region_3-region_1; region_4-region_1; region_10-region_1; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.3839
"MZ_827.5616",1.2574e-08,7.9005,2.1971e-08,"region_1-region_8; region_4-region_8; region_2-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_5-region_11; region_13-region_11; region_5-region_4; region_9-region_4; region_13-region_4",1.346
"MZ_176.8755",1.2645e-08,7.8981,2.2091e-08,"region_4-region_8; region_3-region_2; region_4-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_4-region_11; region_4-region_7; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_9-region_5",0.07367
"MZ_820.5137",1.2673e-08,7.8971,2.2135e-08,"region_4-region_8; region_4-region_3; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4",0.6657
"MZ_853.6563",1.2713e-08,7.8957,2.22e-08,"region_10-region_1; region_10-region_2; region_12-region_2; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.04181
"MZ_401.0739",1.3105e-08,7.8826,2.2879e-08,"region_10-region_8; region_10-region_1; region_10-region_2; region_10-region_11; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10",0.1507
"MZ_534.2903",1.3394e-08,7.8731,2.3379e-08,"region_1-region_8; region_5-region_8; region_13-region_8; region_11-region_1; region_9-region_1; region_5-region_3; region_5-region_11; region_13-region_11; region_5-region_4; region_5-region_10; region_9-region_5; region_13-region_9",0.6059
"MZ_743.5337",1.3599e-08,7.8665,2.373e-08,"region_3-region_8; region_3-region_1; region_5-region_2; region_13-region_2; region_11-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_10; region_13-region_10",0.9733
"MZ_827.5609",1.3608e-08,7.8662,2.374e-08,"region_1-region_8; region_4-region_8; region_11-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_5-region_4; region_9-region_4; region_13-region_4",1.311
"MZ_760.5778",1.3875e-08,7.8578,2.4202e-08,"region_11-region_8; region_11-region_1; region_11-region_2; region_11-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11",0.4872
"MZ_742.5252",1.4054e-08,7.8522,2.4509e-08,"region_3-region_8; region_3-region_1; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.8032
"MZ_782.5569",1.4079e-08,7.8514,2.4542e-08,"region_11-region_8; region_11-region_2; region_11-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_5-region_4; region_13-region_4",0.8876
"MZ_493.9581",1.408e-08,7.8514,2.4542e-08,"region_4-region_8; region_11-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_4-region_3; region_4-region_11; region_4-region_7; region_10-region_4; region_5-region_4; region_13-region_4",1.039
"MZ_703.9839",1.4186e-08,7.8481,2.4722e-08,"region_10-region_1; region_12-region_1; region_10-region_11; region_12-region_11; region_10-region_7; region_12-region_7; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_12; region_13-region_12",0.1179
"MZ_797.5297",1.4604e-08,7.8355,2.5444e-08,"region_3-region_8; region_3-region_1; region_3-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.1181
"MZ_826.5552",1.4768e-08,7.8307,2.5725e-08,"region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",1.553
"MZ_743.5360",1.4872e-08,7.8276,2.5899e-08,"region_3-region_8; region_3-region_1; region_5-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_5-region_10; region_13-region_10",1.028
"MZ_850.5650",1.4878e-08,7.8275,2.5905e-08,"region_3-region_8; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_10; region_13-region_10",1.07
"MZ_846.5302",1.5017e-08,7.8234,2.614e-08,"region_7-region_1; region_7-region_2; region_7-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.1909
"MZ_837.6650",1.5043e-08,7.8227,2.6182e-08,"region_11-region_1; region_12-region_1; region_9-region_1; region_12-region_2; region_12-region_3; region_7-region_11; region_5-region_11; region_13-region_11; region_12-region_7; region_9-region_7; region_12-region_4; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.3415
"MZ_175.1193",1.5811e-08,7.8011,2.7511e-08,"region_10-region_1; region_12-region_1; region_10-region_2; region_10-region_11; region_12-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.1032
"MZ_703.9754",1.5962e-08,7.7969,2.7767e-08,"region_4-region_2; region_4-region_3; region_9-region_3; region_4-region_11; region_9-region_11; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_9-region_10; region_9-region_5; region_9-region_12; region_13-region_9",0.4236
"MZ_327.0504",1.5993e-08,7.7961,2.7816e-08,"region_1-region_8; region_11-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_4-region_1; region_11-region_2; region_5-region_2; region_13-region_2; region_4-region_11; region_12-region_11; region_5-region_4; region_13-region_4; region_13-region_12",0.6702
"MZ_848.5433",1.6108e-08,7.793,2.8009e-08,"region_4-region_8; region_4-region_2; region_4-region_3; region_4-region_11; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",0.9877
"MZ_666.0279",1.6121e-08,7.7926,2.8025e-08,"region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_10; region_13-region_10",0.1502
"MZ_846.5397",1.6381e-08,7.7857,2.8471e-08,"region_4-region_8; region_3-region_1; region_4-region_1; region_3-region_2; region_4-region_2; region_11-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4",0.5049
"MZ_851.6291",1.6421e-08,7.7846,2.8534e-08,"region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.1831
"MZ_820.5279",1.6643e-08,7.7788,2.8914e-08,"region_4-region_1; region_4-region_2; region_4-region_3; region_4-region_11; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.02836
"MZ_799.5326",1.6684e-08,7.7777,2.8979e-08,"region_1-region_8; region_5-region_1; region_13-region_1; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4",1.176
"MZ_822.5277",1.6724e-08,7.7767,2.9042e-08,"region_5-region_1; region_13-region_1; region_4-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4",1.34
"MZ_493.9588",1.6775e-08,7.7753,2.9124e-08,"region_7-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_5-region_11; region_13-region_11; region_4-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_9-region_5; region_13-region_9",1.061
"MZ_774.5185",1.7274e-08,7.7626,2.9983e-08,"region_5-region_8; region_13-region_8; region_12-region_1; region_12-region_2; region_12-region_7; region_9-region_7; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.0697
"MZ_175.1188",1.7556e-08,7.7556,3.0465e-08,"region_1-region_8; region_11-region_8; region_5-region_8; region_13-region_8; region_10-region_1; region_10-region_2; region_10-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_13-region_10",0.1788
"MZ_331.0832",1.7574e-08,7.7551,3.0491e-08,"region_10-region_8; region_10-region_1; region_10-region_2; region_5-region_3; region_10-region_11; region_9-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_12-region_10; region_13-region_10; region_9-region_5; region_13-region_9",0.02367
"MZ_367.0224",1.7817e-08,7.7492,3.0906e-08,"region_1-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_11; region_13-region_5",0.8403
"MZ_825.5474",1.8126e-08,7.7417,3.1435e-08,"region_5-region_1; region_13-region_1; region_5-region_2; region_13-region_2; region_5-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_4; region_13-region_4",1.892
"MZ_492.9609",1.833e-08,7.7368,3.1781e-08,"region_3-region_1; region_10-region_1; region_12-region_1; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.1727
"MZ_474.1177",1.8344e-08,7.7365,3.1798e-08,"region_2-region_1; region_11-region_2; region_7-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_9-region_11; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.7344
"MZ_823.5348",1.8681e-08,7.7286,3.2376e-08,"region_1-region_8; region_2-region_1; region_7-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_5-region_3; region_13-region_3; region_5-region_4; region_13-region_4",1.362
"MZ_477.9887",1.8688e-08,7.7284,3.2381e-08,"region_3-region_1; region_10-region_1; region_9-region_1; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_10; region_13-region_10; region_9-region_5; region_13-region_9",0.06896
"MZ_404.9783",1.9289e-08,7.7147,3.3414e-08,"region_13-region_8; region_2-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_13-region_2; region_13-region_3; region_13-region_7; region_5-region_4; region_12-region_4; region_13-region_10; region_13-region_5; region_13-region_12; region_13-region_9",0.06126
"MZ_492.9581",1.9331e-08,7.7137,3.348e-08,"region_5-region_8; region_5-region_3; region_13-region_3; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",0.9748
"MZ_797.5220",1.9397e-08,7.7123,3.3586e-08,"region_1-region_8; region_2-region_1; region_7-region_1; region_4-region_1; region_5-region_1; region_13-region_1; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.216
"MZ_783.5626",1.9475e-08,7.7105,3.3714e-08,"region_11-region_8; region_4-region_8; region_11-region_2; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4",0.7994
"MZ_808.5745",1.9513e-08,7.7097,3.3773e-08,"region_11-region_8; region_5-region_1; region_13-region_1; region_11-region_2; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11",1.633
"MZ_266.9621",2.0027e-08,7.6984,3.4654e-08,"region_9-region_8; region_9-region_1; region_9-region_2; region_4-region_11; region_9-region_11; region_9-region_7; region_5-region_4; region_12-region_4; region_13-region_4; region_9-region_10; region_9-region_5; region_9-region_12; region_13-region_9",0.04828
"MZ_798.5349",2.0491e-08,7.6884,3.545e-08,"region_1-region_8; region_2-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_5-region_4; region_13-region_4",1.287
"MZ_774.5176",2.0545e-08,7.6873,3.5535e-08,"region_12-region_2; region_12-region_3; region_12-region_7; region_9-region_7; region_5-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1844
"MZ_494.9551",2.0768e-08,7.6826,3.5913e-08,"region_1-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_5-region_4; region_13-region_4",1.06
"MZ_797.5185",2.0796e-08,7.682,3.5954e-08,"region_5-region_1; region_13-region_1; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_13-region_11; region_5-region_4; region_13-region_4; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.035
"MZ_456.0075",2.1329e-08,7.671,3.6867e-08,"region_10-region_8; region_10-region_1; region_10-region_2; region_5-region_3; region_10-region_11; region_10-region_7; region_5-region_10; region_9-region_10; region_13-region_10",0.2288
"MZ_719.9513",2.2457e-08,7.6487,3.8807e-08,"region_3-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_13-region_1; region_4-region_3; region_4-region_11; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4",1.265
"MZ_455.0008",2.2561e-08,7.6467,3.8978e-08,"region_5-region_8; region_5-region_1; region_5-region_2; region_5-region_3; region_5-region_11; region_5-region_7; region_5-region_4; region_5-region_10; region_12-region_5; region_9-region_5; region_13-region_5",0.6448
"MZ_493.9594",2.2635e-08,7.6452,3.9099e-08,"region_4-region_8; region_5-region_1; region_13-region_1; region_4-region_3; region_4-region_11; region_4-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4",0.7587
"MZ_457.0025",2.2795e-08,7.6422,3.9366e-08,"region_10-region_8; region_10-region_1; region_10-region_2; region_10-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.0757
"MZ_827.5605",2.3142e-08,7.6356,3.9956e-08,"region_1-region_8; region_4-region_8; region_5-region_1; region_9-region_1; region_13-region_1; region_5-region_11; region_13-region_11; region_5-region_4; region_9-region_4; region_13-region_4",1.283
"MZ_827.5604",2.3345e-08,7.6318,4.0297e-08,"region_1-region_8; region_4-region_8; region_5-region_1; region_9-region_1; region_13-region_1; region_5-region_11; region_13-region_11; region_5-region_4; region_9-region_4; region_13-region_4",1.303
