"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"protostreptovaricin IV [M+H-2H2O]+",35.731,43.25,86.562,77.389,0.413,-1.276,0.0019,0.0133,1.335,0.385
"Tobiraxanthin D [M+NH4]+",159.455,52.042,60.522,26.49,2.635,1.398,7.52e-14,3.18e-12,2.709,-0.779
"MSI00436",133.501,107.511,171.8,354.446,0.777,-0.364,0.561,0.67,0.26,0.069
"Leucomycin V [M+H]+",17.033,12.69,57.434,22.916,0.297,-1.754,2.21e-12,6.35e-11,2.603,0.744
"apoferrichrome [M+K]+",72.371,75.404,172.731,163.151,0.419,-1.255,0.00245,0.0164,1.305,0.367
"Methylphenidate [M]+",102.326,53.205,144.766,170.728,0.707,-0.501,0.184,0.362,0.589,0.158
"Amidosulfuron [M]+",17.938,16.869,112.063,121.77,0.16,-2.643,5.52e-05,0.00056,1.69,0.482
"L-Fucose [M]+",309.654,20.712,187.977,347.413,1.647,0.72,0.0524,0.193,0.854,-0.232
"TG(52:9) [M+H-2H2O]+",171.117,98.983,86.103,88.92,1.987,0.991,0.000605,0.00479,1.463,-0.43
"131929-60-7 [M+K]+",41.673,2.787,138.203,105.507,0.302,-1.73,2.62e-06,3.19e-05,1.925,0.539
"MSI00444",92.857,47.872,77.404,75.406,1.2,0.263,0.332,0.495,0.432,-0.134
"Quinate [M]+",948.279,63.429,120.281,248.87,7.884,2.979,1.33e-26,5.53e-24,3.219,-0.925
"PS O-35:2 [M]+",223.072,14.956,172.847,241.177,1.291,0.368,0.244,0.417,0.518,-0.125
"PS 41:5 [M]+",119.086,10.755,410.185,194.98,0.29,-1.784,7.05e-12,1.86e-10,2.563,0.741
"MSI00448",103.447,97.595,57.434,22.916,1.801,0.849,0.0117,0.0649,1.098,-0.32
"Dictazole B [M+H]+",40.274,13.377,87.647,69.512,0.46,-1.122,0.000348,0.00297,1.519,0.447
"MSI00450",43.621,74.004,61.259,32.779,0.712,-0.49,0.222,0.4,0.542,0.151
"O3 [M]+_4",39.393,94.958,172.28,195.862,0.229,-2.129,0.001,0.00752,1.408,0.414
"O2 [M]+_2",249.753,46.834,264.201,425.138,0.945,-0.081,0.849,0.893,0.085,0.039
"7,3'-Di-O-methylisoorientin [M]+",27.528,49.161,67.793,58.943,0.406,-1.3,0.00426,0.0267,1.236,0.353
"Tautomycin [M+K]+",88.701,34.181,60.323,27.548,1.47,0.556,0.000529,0.00426,1.477,-0.425
"MSI00455",229.893,35.595,104.82,171.415,2.193,1.133,0.000149,0.00137,1.601,-0.429
"Oscillol 2,2'-di-(O-methylmethylpentoside) [M]+",46.457,3.035,70.229,52.429,0.662,-0.596,0.0129,0.0705,1.084,0.304
"MSI00457",24.469,37.185,57.434,22.916,0.426,-1.231,6.84e-05,0.000679,1.671,0.477
"MSI00458",392.655,301.502,747.748,1138.978,0.525,-0.929,0.0932,0.26,0.742,0.216
"Tulathromycin A [M+NH4]+",88.287,47.66,168.819,142.334,0.523,-0.935,0.00351,0.0228,1.261,0.357
"68401-81-0 [M]+",105.123,116.428,71.669,82.773,1.467,0.553,0.19,0.369,0.582,-0.178
"Iriomoteolide 1a [M+NH4]+",94.879,109.134,57.434,22.916,1.652,0.724,0.0621,0.214,0.822,-0.247
"MSI00462",110.946,24.846,207.925,252.264,0.534,-0.906,0.0343,0.147,0.929,0.253
"(1R,6R,16S,17S,19R,20S,21R,22R,23R,24S,25R)-3,17... [M+H]+",69.59,4.655,123.652,151.411,0.563,-0.829,0.0478,0.18,0.871,0.25
"2752-65-0 [M+NH4]+",40.126,59.325,93.359,120.345,0.43,-1.218,0.0284,0.129,0.961,0.271
"MSI00465",76.754,94.992,74.589,67.784,1.029,0.041,0.917,0.941,0.047,-0.037
"2-Amino-5-chloromuconate 6-semialdehyde [M]+",84.086,107.228,151.655,414.89,0.554,-0.851,0.376,0.531,0.395,0.108
"Lampranthin II [M]+",458.145,339.7,772.192,1249.08,0.593,-0.753,0.175,0.351,0.602,0.176
"Chlorfenapyr [M+H]+",33.67,54.512,119.082,134.302,0.283,-1.822,0.00145,0.0105,1.367,0.381
"3,5-Dicaffeoyl-4-succinoylquinic acid [M-H2O+NH4]+",105.994,90.38,89.588,148.439,1.183,0.243,0.595,0.701,0.237,-0.068
"(2-{[(2S,3R,4E)-2-[(4Z,7Z,10R,11E,13Z,15E,17S,19... [M]+",229.411,36.857,104.82,171.415,2.189,1.13,0.00016,0.00146,1.594,-0.428
"Erythrosine [M]+",92.857,47.872,77.404,75.406,1.2,0.263,0.332,0.495,0.432,-0.134
"etnangien [M]+",17.097,10.573,61.545,24.554,0.278,-1.848,1.51e-13,5.77e-12,2.688,0.776
"6-Bromo-2-naphthol [M+H]+",24.063,26.339,166.612,199.964,0.144,-2.792,0.000172,0.00157,1.587,0.484
"MSI00474",19.035,15.44,67.474,65.144,0.282,-1.826,0.000125,0.00116,1.617,0.457
"MSI00475",56.158,72.977,225.803,240.527,0.249,-2.007,0.000313,0.0027,1.53,0.46
"Lecithin [M+Na]+_5",137.477,13.251,120.12,156.258,1.145,0.195,0.534,0.65,0.278,-0.055
"Lecithin [M+K]+",163.014,83.782,95.646,192.6,1.704,0.769,0.0744,0.23,0.787,-0.206
"MSI00478",90.831,9.87,277.964,211.689,0.327,-1.614,5.08e-06,5.8e-05,1.878,0.544
"MSI00479",124.883,16.282,502.228,235.44,0.249,-2.008,6.23e-13,2.13e-11,2.644,0.763
"2,3-Bis(2-methoxy-4-nitro-5-sulfophenyl)-5-((phe... [M-H2O+NH4]+",40.274,13.377,87.647,69.512,0.46,-1.122,0.000348,0.00297,1.519,0.447
"PPP [M+Na]+",16.991,10.34,61.545,24.554,0.276,-1.857,1.22e-13,4.72e-12,2.695,0.778
