"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"TPCK [M+Na]+",317.895,117.102,139.77,312.567,2.274,1.186,0.00368,0.0237,1.255,-0.357
"MSI00416",32.462,60.139,63.241,42.318,0.513,-0.962,0.021,0.106,1.01,0.29
"PA(20:4(7E,9E,11Z,13E)-3OH(5S,6R,15S)/i-14:0) [M]+",224.094,128.826,91.312,78.098,2.454,1.295,5.26e-06,5.98e-05,1.876,-0.545
"24-hydroxymethyl-squalamine [M]+",71.025,99.888,57.434,22.916,1.237,0.306,0.456,0.592,0.332,-0.106
"MSI00419",134.345,92.086,129.024,229.335,1.041,0.058,0.903,0.932,0.054,-0.026
"PE(36:3) [M+Na]+",102.043,6.825,75.079,103.83,1.359,0.443,0.148,0.321,0.642,-0.15
"Acarbose 7IV-phosphate [M+H]+",461.316,308.686,757.684,1162.504,0.609,-0.716,0.168,0.344,0.611,0.18
"PG 44:0 [M+Na]+",139.027,72.882,63.334,43.565,2.195,1.134,4.26e-06,5e-05,1.891,-0.553
"3'-Deoxystreptomycin 6,3''-bis-phosphate [M+H]+",443.747,312.272,760.168,1171.709,0.584,-0.777,0.145,0.318,0.646,0.188
"MSI00424",27.209,58.115,111.975,275.694,0.243,-2.041,0.0938,0.261,0.741,0.202
"Thuwalallene B [M]+",20.782,24.232,177.582,389.763,0.117,-3.095,0.0266,0.125,0.972,0.279
"CoB-CoM heterodisulfide [M+H-H2O]+",74.154,79.171,71.685,45.824,1.034,0.049,0.879,0.914,0.068,-0.037
"Lecithin [M+Na]+_4",12.49,7.675,144.53,499.171,0.086,-3.533,0.14,0.313,0.654,0.184
"MGDG-bis-9-OH-traumatin [M+K]+",47.464,11.749,149.191,112.045,0.318,-1.652,3.35e-06,3.99e-05,1.908,0.561
"PA(a-25:0/a-25:0) [M+Na]+",70.736,139.914,57.434,22.916,1.232,0.301,0.598,0.703,0.236,-0.081
"MSI00430",51.581,134.553,165.71,604.477,0.311,-1.684,0.301,0.47,0.46,0.143
"UDP-2-acetamido-3-dehydro-2-deoxy-alpha-D-glucop... [M+H]+",47.488,36.515,88.314,79.831,0.538,-0.895,0.0107,0.0598,1.111,0.306
"Fluo-3 [M+H]+",143.74,131.808,138.204,289.845,1.04,0.057,0.922,0.945,0.044,-0.004
"1-eicsoic acid [M]+_1",35.89,2.423,81.461,59.932,0.441,-1.183,6.2e-05,0.000623,1.68,0.484
